Provinsi;Kab/Kota;Indeks Pembangunan Manusia;Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen);Rata-rata Lama Sekolah Penduduk 15+ (Tahun);Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun);Umur Harapan Hidup (Tahun);Tingkat Pengangguran Terbuka;Tingkat Partisipasi Angkatan Kerja
ACEH;Simeulue;"66,41";"18,98";"9,48";7148;"65,28";"5,71";"71,15"
ACEH;Aceh Singkil;"69,22";"20,36";"8,68";8776;"67,43";"8,36";"62,85"
ACEH;Aceh Selatan;"67,44";"13,18";"8,88";8180;"64,4";"6,46";"60,85"
ACEH;Aceh Tenggara;"69,44";"13,41";"9,67";8030;"68,22";"6,43";"69,62"
ACEH;Aceh Timur;"67,83";"14,45";"8,21";8577;"68,74";"7,13";"59,48"
ACEH;Aceh Tengah;"73,37";"15,26";"9,86";10780;"68,86";"2,61";"76,3"
ACEH;Aceh Barat;"71,67";"18,81";"9,55";9593;"67,99";"7,09";"60,05"
ACEH;Aceh Besar;"73,58";"14,05";"10,33";9644;"69,79";"7,7";"61,67"
ACEH;Pidie;"70,7";"19,59";9;9860;"66,95";"7,28";"60,29"
ACEH;Bireuen;"72,33";"13,25";"9,29";8867;"71,26";"4,32";"65,91"
ACEH;Aceh Utara;"69,46";"17,43";"8,64";8201;"68,81";"8,31";"58,47"
ACEH;Aceh Barat Daya;"66,99";"16,34";"8,67";8428;"65,06";"4,04";"57,91"
ACEH;Gayo Lues;"67,56";"19,64";"8,4";8856;"65,53";"1,84";"78,99"
ACEH;Aceh Tamiang;"69,48";"13,34";"8,91";8367;"69,63";"5,87";"66,43"
ACEH;Nagan Raya;"69,31";"18,23";"8,69";8292;"69,24";"4,99";"64,99"
ACEH;Aceh Jaya;"69,84";"13,23";"8,71";9666;"67,19";"3,47";"72,59"
ACEH;Bener Meriah;"73,27";"19,16";10;11118;"69,26";"1,24";"77,53"
ACEH;Pidie Jaya;"73,6";"19,55";"9,34";10290;"70,18";"3,57";"57,77"
ACEH;Kota Banda Aceh;"85,71";"7,61";"12,83";16891;"71,52";"8,94";63
ACEH;Kota Sabang;"76,11";"15,32";"11,18";11378;"70,56";"3,56";"63,71"
ACEH;Kota Langsa;"77,44";"10,96";"11,12";12067;"69,43";"7,21";"67,04"
ACEH;Kota Lhokseumawe;"77,57";"11,16";"11,11";11390;"71,64";"11,16";"63,91"
ACEH;Kota Subulussalam;"65,27";"17,65";"8,03";7385;"64,07";"6,26";"63,78"
SUMATERA UTARA;Nias;"62,74";"16,82";"5,64";6995;"69,78";"3,12";"81,79"
SUMATERA UTARA;Mandailing Natal;"67,19";"9,49";"8,63";9771;"62,65";"6,12";"69,79"
