Country name;Regional indicator;Ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Finland;Western Europe;7.842;10.775;0,6625;72.000;0,659027778;-0.098;0,129166667
Denmark;Western Europe;7.620;10.933;0,6625;72.700;0,656944444;0.030;0,124305556
Switzerland;Western Europe;7.571;11.117;0,654166667;74.400;0,638194444;0.025;0,202777778
Iceland;Western Europe;7.554;10.878;0,682638889;73.000;0,663194444;0,111111111;0,467361111
Netherlands;Western Europe;7.464;10.932;0,654166667;72.400;0,634027778;0,121527778;0,234722222
Norway;Western Europe;7.392;11.053;0,6625;73.300;0,666666667;0.093;0,1875
Sweden;Western Europe;7.363;10.867;0,648611111;72.700;0,65625;0.086;0,164583333
Luxembourg;Western Europe;7.324;11.647;0,630555556;72.600;0,629861111;-0.034;0,268055556
New Zealand;North America and ANZ;7.277;10.643;0,658333333;73.400;0,645138889;0,093055556;0,168055556
Austria;Western Europe;7.268;10.906;0,648611111;73.300;0,630555556;0.042;0,334027778
Australia;North America and ANZ;7.183;10.796;0,652777778;73.900;0,634722222;0,110416667;0,306944444
Israel;Middle East and North Africa;7.157;10.575;0,652083333;73.503;0,555555556;0.031;0,522916667
Germany;Western Europe;7.155;10.873;0,627083333;72.500;0,607638889;0.011;0,319444444
Canada;North America and ANZ;7.103;10.776;0,643055556;73.800;0,635416667;0.089;0,288194444
Ireland;Western Europe;7.085;11.342;0,657638889;72.400;0,610416667;0.077;0,252083333
Costa Rica;Latin America and Caribbean;7.069;9.880;0,61875;71.400;0,648611111;-0.126;0,561805556
United Kingdom;Western Europe;7.064;10.707;0,648611111;72.500;0,596527778;0,161805556;0,31875
Czech Republic;Central and Eastern Europe;6.965;10.556;0,657638889;70.807;0,595833333;-0.208;0,602777778
United States;North America and ANZ;6.951;11.023;0,638888889;68.200;0,58125;0.098;0,484722222
Belgium;Western Europe;6.834;10.823;0,629166667;72.199;0,54375;-0.153;0,448611111
France;Western Europe;6.690;10.704;0,654166667;74.000;0,570833333;-0.147;0,396527778
Bahrain;Middle East and North Africa;6.647;10.669;0,598611111;69.495;0,642361111;0.089;0,501388889
Malta;Western Europe;6.602;10.674;0,646527778;72.200;0,64375;0,092361111;0,453472222
Taiwan Province of China;East Asia;6.584;10.871;0,623611111;69.600;0,544444444;-0.070;0,500694444
United Arab Emirates;Middle East and North Africa;6.561;11.085;0,586111111;67.333;0,647222222;0.074;0,409027778
Saudi Arabia;Middle East and North Africa;6.494;10.743;0,61875;66.603;0,609027778;-0.149;0,475
Spain;Western Europe;6.491;10.571;0,647222222;74.700;0,528472222;-0.081;0,517361111
Italy;Western Europe;6.483;10.623;0,611111111;73.800;0,48125;-0.084;0,601388889
Slovenia;Central and Eastern Europe;6.461;10.529;0,658333333;71.400;0,659027778;-0.101;0,559722222
Guatemala;Latin America and Caribbean;6.435;9.053;0,564583333;64.958;0,629166667;-0.038;0,538194444
Uruguay;Latin America and Caribbean;6.431;9.966;0,642361111;69.100;0,622222222;-0.092;0,409722222
Singapore;Southeast Asia;6.377;11.488;0,635416667;76.953;0,64375;-0.018;0.082
Kosovo;Central and Eastern Europe;6.372;9.318;0,570138889;63.813;0,603472222;0,178472222;0,636805556
Slovakia;Central and Eastern Europe;6.331;10.369;0,65;69.201;0,531944444;-0.124;0,632638889
Brazil;Latin America and Caribbean;6.330;9.577;0,6125;66.601;0,558333333;-0.071;0,525
Mexico;Latin America and Caribbean;6.317;9.859;0,577083333;68.597;0,598611111;-0.147;0,554861111
Jamaica;Latin America and Caribbean;6.309;9.186;0,609027778;67.500;0,618055556;-0.137;0,613888889
Lithuania;Central and Eastern Europe;6.255;10.499;0,649305556;67.906;0,536805556;-0.203;0,573611111
Cyprus;Western Europe;6.223;10.576;0,556944444;73.898;0,529861111;-0.015;0,586111111
Estonia;Central and Eastern Europe;6.189;10.481;0,653472222;68.800;0,63125;-0.106;0,365972222
Panama;Latin America and Caribbean;6.180;10.350;0,622222222;69.652;0,605555556;-0.166;0,594444444
Uzbekistan;Commonwealth of Independent States;6.179;8.836;0,6375;65.255;0,673611111;0,215972222;0,357638889
Chile;Latin America and Caribbean;6.172;10.071;0,6125;70.000;0,515277778;-0.044;0,576388889
Poland;Central and Eastern Europe;6.166;10.382;0,623611111;69.702;0,584027778;-0.165;0,510416667
Kazakhstan;Commonwealth of Independent States;6.152;10.155;0,661111111;65.200;0,592361111;-0.069;0,509027778
Romania;Central and Eastern Europe;6.140;10.284;0,577777778;67.355;0,586805556;-0.219;0,651388889
Kuwait;Middle East and North Africa;6.106;10.817;0,585416667;66.900;0,602083333;-0.104;0,511111111
Serbia;Central and Eastern Europe;6.078;9.787;0,60625;68.600;0,540277778;0.002;0,579861111
El Salvador;Latin America and Caribbean;6.061;9.054;0,529166667;66.402;0,616666667;-0.110;0,477777778
Mauritius;Sub-Saharan Africa;6.049;10.008;0,628472222;66.701;0,602083333;-0.054;0,547916667
Latvia;Central and Eastern Europe;6.032;10.315;0,64375;67.100;0,496527778;-0.162;0,555555556
Colombia;Latin America and Caribbean;6.012;9.557;0,588194444;68.001;0,58125;-0.135;0,584027778
Hungary;Central and Eastern Europe;5.992;10.358;0,654861111;68.000;0,524305556;-0.186;0,608333333
Thailand;Southeast Asia;5.985;9.805;0,616666667;67.401;0,613888889;0,199305556;0,621527778
Nicaragua;Latin America and Caribbean;5.972;8.620;0,6;67.657;0,580555556;0.020;0,461111111
Japan;East Asia;5.940;10.611;0,613888889;75.100;0,552777778;-0.258;0,443055556
Argentina;Latin America and Caribbean;5.929;9.962;0,623611111;69.000;0,575;-0.182;0,579166667
Portugal;Western Europe;5.929;10.421;0,610416667;72.600;0,619444444;-0.244;0,615972222
Honduras;Latin America and Caribbean;5.919;8.648;0,563888889;67.300;0,595138889;0.081;0,561805556
Croatia;Central and Eastern Europe;5.882;10.217;0,641666667;70.799;0,523611111;-0.118;0,652083333
Philippines;Southeast Asia;5.880;9.076;0,576388889;62.000;0,636805556;-0.097;0,515277778
